neighbourhood_cleansed,total_listings,never_booked,active,dormant,inactive,pct_never_booked,pct_active,avg_host_tenure_years,avg_reviews_per_month_active
Buitenveldert - Zuidas,125,26,50,26,23,20.8,40.0,9.3,1.21
Noord-Oost,188,31,108,15,34,16.5,57.4,10.0,1.19
Watergraafsmeer,317,51,137,56,73,16.1,43.2,9.7,1.31
De Aker - Nieuw Sloten,67,9,35,12,11,13.4,52.2,10.0,2.0
Zuid,734,94,382,123,135,12.8,52.0,10.0,1.3
IJburg - Zeeburgereiland,188,23,112,21,32,12.2,59.6,9.8,1.08
De Pijp - Rivierenbuurt,1199,136,629,202,232,11.3,52.5,9.8,1.19
Oud-Noord,485,55,280,71,79,11.3,57.7,10.3,1.41
Oud-Oost,654,73,326,115,140,11.2,49.8,9.9,1.46
Oostelijk Havengebied - Indische Buurt,436,49,236,60,91,11.2,54.1,10.3,1.19
Geuzenveld - Slotermeer,139,15,93,13,18,10.8,66.9,9.2,1.09
Centrum-Oost,923,93,586,117,127,10.1,63.5,9.4,2.01
Noord-West,298,30,176,45,47,10.1,59.1,11.1,1.04
Bos en Lommer,547,51,252,123,121,9.3,46.1,10.3,1.1
Westerpark,736,68,404,118,146,9.2,54.9,10.4,1.06
De Baarsjes - Oud-West,1807,155,998,307,347,8.6,55.2,10.3,1.04
Centrum-West,1207,102,837,132,136,8.5,69.3,9.1,2.02
Slotervaart,206,17,113,41,35,8.3,54.9,9.7,1.44
Bijlmer-Centrum,66,5,46,7,8,7.6,69.7,7.7,2.97
Osdorp,57,4,33,7,13,7.0,57.9,9.1,6.38
