neighbourhood_cleansed,total_listings,never_booked,active,dormant,inactive,pct_never_booked,pct_active,avg_host_tenure_years,avg_reviews_per_month_active
Battery Park City,69,37,4,3,25,53.6,5.8,9.7,0.25
Theater District,347,173,103,32,39,49.9,29.7,6.1,4.32
Tribeca,157,75,24,6,52,47.8,15.3,9.1,3.2
Murray Hill,473,218,102,25,128,46.1,21.6,8.1,1.32
Financial District,636,286,140,25,185,45.0,22.0,6.8,3.29
Midtown,2037,901,623,147,366,44.2,30.6,7.1,1.89
Upper West Side,1494,641,320,77,456,42.9,21.4,9.7,0.95
Nolita,200,85,43,11,61,42.5,21.5,9.7,0.83
Ridgewood,321,131,66,22,102,40.8,20.6,10.2,1.27
Rego Park,72,29,14,4,25,40.3,19.4,8.1,2.0
Kingsbridge,62,24,10,6,22,38.7,16.1,8.5,0.55
Bensonhurst,55,21,15,6,13,38.2,27.3,9.4,1.32
Brooklyn Heights,74,28,9,7,30,37.8,12.2,10.9,0.97
Sheepshead Bay,121,45,33,8,35,37.2,27.3,8.9,1.73
Long Island City,412,153,118,18,123,37.1,28.6,8.8,1.6
Hell's Kitchen,1514,559,448,153,354,36.9,29.6,8.6,1.66
West Village,473,172,85,21,195,36.4,18.0,10.8,0.84
Morningside Heights,190,68,21,11,90,35.8,11.1,10.0,0.92
Ozone Park,90,32,31,12,15,35.6,34.4,6.5,1.19
Greenwich Village,214,76,38,12,88,35.5,17.8,10.4,0.75
